#     	A                   	B                   	A+B                 
----------------------------------------------------------------------
1     	' '                 	't'                 	' t'                
2     	'h'                 	'e'                 	'he'                
3     	' '                 	'a'                 	' a'                
4     	' '                 	's'                 	' s'                
5     	' '                 	'w'                 	' w'                
6     	'n'                 	'd'                 	'nd'                
7     	' t'                	'he'                	' the'              
8     	'e'                 	'd'                 	'ed'                
9     	' '                 	'b'                 	' b'                
10    	' t'                	'o'                 	' to'               
11    	' a'                	'nd'                	' and'              
12    	' '                 	'h'                 	' h'                
13    	' '                 	'f'                 	' f'                
14    	'i'                 	'n'                 	'in'                
15    	' '                 	'T'                 	' T'                
16    	' w'                	'a'                 	' wa'               
17    	'r'                 	'e'                 	're'                
18    	'i'                 	't'                 	'it'                
19    	'o'                 	'u'                 	'ou'                
20    	' '                 	'l'                 	' l'                
21    	' '                 	'd'                 	' d'                
22    	' '                 	'c'                 	' c'                
23    	' '                 	'p'                 	' p'                
24    	'a'                 	'y'                 	'ay'                
25    	' '                 	'm'                 	' m'                
26    	'e'                 	'r'                 	'er'                
27    	' wa'               	's'                 	' was'              
28    	'o'                 	'm'                 	'om'                
29    	' T'                	'he'                	' The'              
30    	' '                 	'he'                	' he'               
31    	'i'                 	's'                 	'is'                
32    	'a'                 	'r'                 	'ar'                
33    	' '                 	'n'                 	' n'                
34    	'i'                 	'm'                 	'im'                
35    	'o'                 	'n'                 	'on'                
36    	' s'                	'a'                 	' sa'               
37    	'i'                 	'd'                 	'id'                
38    	'l'                 	'l'                 	'll'                
39    	' h'                	'a'                 	' ha'               
40    	' '                 	'g'                 	' g'                
41    	'a'                 	't'                 	'at'                
42    	' '                 	'S'                 	' S'                
43    	'in'                	'g'                 	'ing'               
44    	'o'                 	't'                 	'ot'                
45    	'e'                 	'n'                 	'en'                
46    	'a'                 	'n'                 	'an'                
47    	'l'                 	'e'                 	'le'                
48    	'o'                 	'r'                 	'or'                
49    	'i'                 	'r'                 	'ir'                
50    	'a'                 	'm'                 	'am'                
51    	'e'                 	't'                 	'et'                
52    	' '                 	'H'                 	' H'                
53    	' '                 	'it'                	' it'               
54    	' t'                	'h'                 	' th'               
55    	'i'                 	'g'                 	'ig'                
56    	' The'              	'y'                 	' They'             
57    	' '                 	'in'                	' in'               
58    	'i'                 	'l'                 	'il'                
59    	' p'                	'l'                 	' pl'               
60    	' H'                	'e'                 	' He'               
61    	' '                 	'"'                 	' "'                
62    	'o'                 	'w'                 	'ow'                
63    	'v'                 	'er'                	'ver'               
64    	'r'                 	'i'                 	'ri'                
65    	'u'                 	't'                 	'ut'                
66    	' b'                	'e'                 	' be'               
67    	' '                 	'u'                 	' u'                
68    	' sa'               	'id'                	' said'             
69    	' pl'               	'ay'                	' play'             
70    	'it'                	'h'                 	'ith'               
71    	' d'                	'ay'                	' day'              
72    	' w'                	'ith'               	' with'             
73    	'p'                 	'p'                 	'pp'                
74    	'O'                 	'n'                 	'On'                
75    	' '                 	'o'                 	' o'                
76    	' '                 	'y'                 	' y'                
77    	'o'                 	'o'                 	'oo'                
78    	'k'                 	'ed'                	'ked'               
79    	' '                 	'r'                 	' r'                
80    	' he'               	'r'                 	' her'              
81    	'c'                 	'e'                 	'ce'                
82    	' '                 	'I'                 	' I'                
83    	' S'                	'he'                	' She'              
84    	'l'                 	'd'                 	'ld'                
85    	' T'                	'im'                	' Tim'              
86    	' h'                	'is'                	' his'              
87    	' s'                	't'                 	' st'               
88    	'k'                 	'e'                 	'ke'                
89    	' '                 	'e'                 	' e'                
90    	' b'                	'ig'                	' big'              
91    	'n'                 	't'                 	'nt'                
92    	'c'                 	'k'                 	'ck'                
93    	' y'                	'ou'                	' you'              
94    	'ver'               	'y'                 	'very'              
95    	's'                 	't'                 	'st'                
96    	'v'                 	'e'                 	've'                
97    	'e'                 	'nd'                	'end'               
98    	' '                 	'on'                	' on'               
99    	'u'                 	'n'                 	'un'                
100   	' ha'               	'pp'                	' happ'             
101   	'ri'                	'end'               	'riend'             
102   	' f'                	'riend'             	' friend'           
103   	'a'                 	'll'                	'all'               
104   	'il'                	'y'                 	'ily'               
105   	' '                 	'L'                 	' L'                
106   	' the'              	'y'                 	' they'             
107   	' w'                	'e'                 	' we'               
108   	' ha'               	'd'                 	' had'              
109   	' n'                	'ot'                	' not'              
110   	' l'                	'i'                 	' li'               
111   	' u'                	'p'                 	' up'               
112   	'he'                	'r'                 	'her'               
113   	' wa'               	'nt'                	' want'             
114   	' o'                	'f'                 	' of'               
115   	'a'                 	'd'                 	'ad'                
116   	'it'                	't'                 	'itt'               
117   	's'                 	'e'                 	'se'                
118   	' '                 	'B'                 	' B'                
119   	' d'                	'o'                 	' do'               
120   	' happ'             	'y'                 	' happy'            
121   	'en'                	't'                 	'ent'               
122   	' '                 	'very'              	' very'             
123   	' '                 	'M'                 	' M'                
124   	'e'                 	's'                 	'es'                
125   	' th'               	'at'                	' that'             
126   	' sa'               	'w'                 	' saw'              
127   	'On'                	'e'                 	'One'               
128   	"'"                 	's'                 	"'s"                
129   	'ou'                	'ld'                	'ould'              
130   	' m'                	'om'                	' mom'              
131   	' f'                	'or'                	' for'              
132   	' s'                	'h'                 	' sh'               
133   	'itt'               	'le'                	'ittle'             
134   	' l'                	'ittle'             	' little'           
135   	' s'                	'o'                 	' so'               
136   	' s'                	'he'                	' she'              
137   	'c'                 	'h'                 	'ch'                
138   	'im'                	'e'                 	'ime'               
139   	' n'                	'e'                 	' ne'               
140   	' n'                	'am'                	' nam'              
141   	'.'                 	'"'                 	'."'                
142   	' t'                	'ime'               	' time'             
143   	' '                 	'k'                 	' k'                
144   	'ou'                	'nd'                	'ound'              
145   	' the'              	're'                	' there'            
146   	' nam'              	'ed'                	' named'            
147   	' s'                	'm'                 	' sm'               
148   	' b'                	'o'                 	' bo'               
149   	' we'               	're'                	' were'             
150   	' L'                	'ily'               	' Lily'             
151   	' want'             	'ed'                	' wanted'           
152   	' b'                	'ut'                	' but'              
153   	'ou'                	't'                 	'out'               
154   	'T'                 	'he'                	'The'               
155   	' friend'           	's'                 	' friends'          
156   	'v'                 	'ed'                	'ved'               
157   	'!'                 	'"'                 	'!"'                
158   	'h'                 	't'                 	'ht'                
159   	' T'                	'om'                	' Tom'              
160   	'ir'                	'd'                 	'ird'               
161   	'e'                 	'l'                 	'el'                
162   	' b'                	'ird'               	' bird'             
163   	'a'                 	'l'                 	'al'                
164   	' a'                	'n'                 	' an'               
165   	'a'                 	'ke'                	'ake'               
